id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-204	84	0.38		9	0.4	2.31	1.6	18.36	0.0018	0.0175	0.5993	0.0512	0	32.41	3.61	11.49	1.52	4.58	0	0	3.69	2.44	0	3.32	0.87
UC-205	101	1.6	72.6	17.2	0.8	6.93	18.28	48.53																	
UC-206	105	1.38	127	13	1.6	70.54	62.12	315.09	0	0	0.0098	0.0005	0	57.19	0	0	1.34	28.94	4.68	0	11.84	0	0	0	0
UC-207	82	0.41		7.8	0.4	1.67	0.49	10.27																	
UC-208	96	0.18	39	11.93548387	0.5	1.7	0.38	9.31	0	0	0.002	0.0008	0	19.34	0.49	1.16	0.46	12.24	3	0	4.56	0	0	2.03	0
UC-209	99	0.606666667	57.66666667	14.8	0.8	11.97	11.80333333	66.39333333	0	0.0019	0.0745	0.0012	0	119.95	5.25	29.69	2.18	8.48	0	0	0	3.01	0	0	2.34
UC-210	105	2.47	141	18.6	2.1	92.82	92.08	334.38	0	0.0237	0.6318	0	10.78	519.37	7.3	45.42	14.27	10.25	0	10.63	0	8.09	8.29	9.61	1.23
UC-211	94	0.44	70.7	16.6	0.5	8.86	21.26	51.37	0	0	0.0021	0.0004	0	103.04	0	6.44	1.98	65.12	11.97	0	19.56	0	0	4.82	0
UC-212	105	1.18	107.5	14.4	1.2	33.35	14.26	151.95	0	0.0004	0.0167	0.0016	0	29.62	0.83	4.24	0.6	3.13	0	0	0	0.92	0	0	0.73
UC-213	94	0.6	78.2	17.4	0.8	8.59	17.85	48.12	0	0	0.0024	0	0	19.4	0	2.75	0.33	21.62	0	1.5	3.41	0	0.57	2.24	0
UC-214	96.33333333	1.14	106.2	13.2	0.933333333	20.50666667	30.28	109.8566667	0	0	0.0016	0.0003	0	50.96	0	3.24	1.23	15.04	7.56	0	12.94	0	2.2	0	0
UC-215	101	1	110.6	11.6	1.2	37.33	35.48	156.59	0	0.009	0.2703	0.0261	8.6	218.45	5.97	12.8	7.88	5.6	0	10.05	0	6.19	3.3	4.73	4.73
UC-223					0.9	14.74	9.7	62.68																	
UC-227	96	0.73	67.9	13.6	0.9	10.71	9.89	51.46	0.0007	0.0033	0.1484	0.0048	0	62.89	2.1	41.28	1.27	2.53	0	0	0	1.75	0	0	0
UC-229	82	0.44	36.9	7.4	0.4	2.19	1.56	20.25	0.0006	0.0024	0.0799	0.0015	0	97.78	2.83	66.64	3.08	0.53	0	0	0	2.84	0	0	0
UC-235	94	0.68	57.4	16.8	1.2	7.58	3.48	42.06	0	0	0.0004	0.0406	0	46.19	0	10.29	0	11.38	0	0	0	0	0	0	0
UC-237	98	0.6	62.1	11.4	0.6	6.23	8.23	36.62																	
UC-238	98	0.88	177.9	13.2	2	139.25	21.52	304.81	0	0	0.0115	0.0005	0	20.73	0	1.12	0.64	25.64	0	0	7.54	0	0	0	0
UC-239	101	1.3	86.6	86.6																					
UC-240	105	3.18	97.8	16	1	12.19	8.67	66.7	0	0	0.0023	0.0007	0	5.83	2.02	0	8.44	0.74	0	0	1.85	0.99	0.42	5.19	0
UC-244	84	0.42		8	0.6	2.78	0.07	24.96																	
UC-245	119	1.4	85.6	9.8	0.9	37.89	31.6	134.15	0	0.0007	0.0232	0.001	0	6.82	0.92	0	0	3.61	0	0	3.28	0	0	2.31	0
UC-247	99	0.716666667	86.03333333	12.8	0.9	22.95	24.23666667	87.70666667	0.0026	0.0415	1.0583	0.045	1.63	202.95	5.76	23.81	8.68	3.69	0	8.37	0	4.18	4.14	4.46	0
UC-248	114.6666667	0.623333333	97.2	12.4	1.166666667	49.33333333	30.54666667	161.76	0	0	0.0007	0.0002	0	21.99	0	0	0	0	0	0	2.66	0	0	0	0
UC-249	91	0.64	61.4	13	0.5	7.27	4.86	34.12	0	0	0.1014	0	0	182.85	7.49	87.92	2.9	12.5	0	10.11	0	5.66	0	0	6.38
UC-250	98	0.25	22.2	10.71428571	0.2	1.15	0.4	10.81	0	0.0036	0.1226	0.0037	0	67.58	0	23.59	0	8.03	0	0	0	0	0	0	0
UC-251	107	1.29	85.8	20.2	1.2	15.65	7.78	77.22	0	0	0.0016	0	0	12.27	0	1.62	0.31	8.77	0	0	4.5	0	0	0	0
UC-252	105	1.31	150.1	11.6	1.3	44.73	64.47	187.74	0	0	0.0027	0.0012	0	10.14	0	7.07	0.2	18.71	0	0	3.18	0	0	2.34	0
UC-253	98	1.343333333	82.2	20.4	0.9	13.3	57.1	92.51	0	0.002	0.0779	0.0017	0	972.55	51.12	546.11	16.31	99.28	0	0	0	47.14	0	0	41.23
UC-255	101	1.6	151.8	16.6	1.4	63.97	32.93	176.8	0	0.0008	0.0276	0.0003	0	36.02	0	14.91	0	8.86	0	0	0	0	0	3.7	0
UC-256	101.5	0.815	52.4	14.6	0.75	7.805	15.38	51.8																	
UC-257	105	0.62	96.6	15	1.2	38.54	73.57	214.91	0.0005	0.0014	0.0573	0.0024	0	40.76	2.42	30.91	0.78	8.38	0	0	0	2.34	0	0	1
UC-258	101	0.81	114.5	31.6		55.47	78.89	225.9																	
UC-262	84	0.44	42	13	0.6	2.9	0.87	15.8	0	0	0.0038	0	0	46.88	0	4.52	1.29	43.22	3.26	1.35	6.31	0	0.7	0	0
UC-263	105	0.76	81.7	15	1.4	22.64	24.05	93.38	0	0	0.0042	0.001													
UC-264	101	1.8	169.6	18.2	1.3	50.18	48.22	200.83																	
UC-265	105	0.57	77.3	14.2	0.9	23.08	30.36	133.37	0	0	0.0043	0.0141	0	47.02	0.84	12.3	0.81	19.28	0	0	0	0.93	0	0	0
UC-266	107	0.65	68.8	14.4	0.8	7.16	11.36	32.13	0.0002	0.0035	0.1441	0.0018	0	78.38	0	46.82	0	15.95	0	3.27	0	0	0	0	0
UC-268	107	0.59	55.6	17.2	0.9	15.9	9.16	77.35																	
UC-269	105	0.88	72.7	13.8	0.7	11.12	7.2	36.48	0	0	0.0017	0.0202	0	33.64	1	23.72	0.71	5.84	0	5.45	0	1.05	0	2.36	0
UC-270	106.3333333	1.066666667	82.66666667	14.4	1.033333333	25.88333333	14.58333333	102.8733333	0	0	0.0049	0.29	0	30.6	1.51	6.52	0.98	3.6	0	0	0	1.16	0	3.25	0
UC-271	119	1.05	55.3	10.44444444	0.9	15.9	0.52	79.15																	
UC-272	98	0.67	51.4	17.8	0.8	10.17	25.06	69.86	0.0006	0.0037	0.1231	0.0054	0.95	133.38	1.42	66.02	2.68	39.41	0	5.26	0	2.46	1.23	3.04	2.8
UC-274	107	0.64	79.2	11.8	1.1	51.97	55.88	219.08	0	0.0007	0.031	0.0003	0	68.72	0	20.94	0	3.76	0	0	0	0	0	0	0
UC-276	101	1.9	113.4	11.4	0.8	7.5	0.65	10.24																	
UC-277	110	0.52	78.6	18.4	0.9	20.79	55.79	151.78																	
UC-278	105	0.4	46.5	12.4	0.8	85.58	1.72	120.46	0.0002	0.0008	0.0277	0.0004	0	15.21	0	10.04	0	9.33	0	0	0	0	0	1.09	0
UC-282	105	1.13	87.6	15.4	1	16.61	1.73	69.94	0	0	0.0004	0	0	9.95	0	5.17	0	27.54	0	0	0	0	0	0	0
UC-283	96	3.13	148.1	11.8	1.4	52.12	37.52	158.33	0	0	0.0073	0.0369	0	30.67	1.77	15.98	0.71	19.89	0	10.43	2.47	1.77	0	3.24	1.38
UC-288	99	0.916666667	69.86666667	14.4	0.866666667	15.25333333	14.05666667	78.89																	
UC-289	110	2.32	130	14.4	1.1	45.91	3.63	136.86	0	0	0.006	0.0216	0	94.28	0	20.7	3.84	3.07	0	0	0	0	0	0	0
UC-295	86.33333333	0.386666667	50.6	13.8	0.566666667	4.48	10.24666667	40.11333333	0.005	0.0223	0.8911	0.0463	0	159.96	8.08	90.25	4.92	25.08	0	5.49	0	5.35	0	4.46	0
UC-300	107	1.06	69	12.8	0.7	8.49	3.72	47.02	0	0	0.004	0.0008	0	15.85	0	0	0	11.72	0	0	0	0	0	0	0
UC-301	97.33333333	1.61	108.2	19	1.016666667	30.24666667	74.22666667	169.95	0.0004	0.0006	0.0372	0.0006	0	139.27	1.44	27.22	3.46	52.9	4.96	0	5.91	1.81	3.62	2.67	2.35
UC-302	101	0.81	116.2	17	1	22.84	53.3	128.53																	
UC-303	86	0.59	58.6	10.6	0.6	3.66	5.42	30.65	0	0.0085	0.2947	0.0034	0	173.71	5.04	130.69	0	7.15	0	0	0	4.46	4.83	0	7.59
UC-304	84	0.54		10	0.45	2.36	0.09	8.73	0	0	0.0019	0.0006	0	31.26	0	0	0	27.94	14.85	0	19.92	0	0	0	0
UC-306	105	0.82	57.6	16.6	0.8	17.13	34.63	110.5																	
UC-308	107	2.35	117.9	13.8	1.55	64.77	8.27	201.01	0	0	0	0.0264	0	42.89	0	24.6	0	20.1	0	0	0	0	0	0	0
UC-310	86	0.65	86.7	16	0.9	12.26	25.34	83.79	0	0.0123	0.4031	0	3.46	276.23	7.96	216.66	3.68	21.64	0	9.48	0	5.82	0	2.7	12.05
UC-312	105	1.48	163	14.4	1.8	142.03	141.58	452.05	0	0.0003	0.0105	0.371	0	128.9	2.94	6.44	4.04	7.26	0	0	0	2.66	0	0	0.92
UC-313	96.5	0.87	62.7	14.4	0.7	8.955	7.27	51.485																	
UC-314	98	0.7	115.1	15.4	1.1	21.02	53.98	127.65	0	0	0.0266	0	0	112.56	2.2	8.19	3.33	47.4	5.81	0	8.39	1.95	6.48	0	2.51
UC-315	107	1.19	112.5	12.4	1.5	22.59	10.83	74.85	0	0	0.002	0.0018	0	2.6	0	0.41	0	4.36	0	0	1.52	0	0	2.11	0
UC-316	89	0.78	50	10.2	0.775	14.135	1.195	46.18																	
UC-319	105	0.76	119.3	14.6	1.3	52.06	46.8	165.9	0.0009	0.0077	0.2634	0.0153	0	141.26	2.13	19.5	4.81	5.6	0	0	0	2.62	0	0	0.49
UC-320	98.66666667	0.573333333	58.13333333	16.8	0.8	12.08	23.78	84.79	0	0.0006	0.0262	0.0005	0	43.86	2.04	28.03	0.55	9.06	0	0	0	1.87	0	0	1.94
UC-321	107.3333333	1.173333333	80.8	14.2	1.1	24.59666667	22.24666667	130.8266667																	
UC-322	110	0.86	112.4	13	1.3	64.29	55.09	209.65																	
UC-323	94	0.92	65.2	14.2	1.2	20.69	29.05	100.48	0	0.0393	1.0243	0	0	106.12	7.08	16.1	3.51	5.2	0	16.61	0	5.74	0	3.95	0
UC-324	107	0.68	95.1	15.4	1.1	26.23	40.33	139.9	0	0.0005	0.0246	0	0	31.93	3.95	5.6	0	7.9	0	0	0	0	0	0	0
UC-327	107	0.55	59.1	11.6	0.7	9.48	4.53	41.24	0	0.0011	0.0374	0	0	41.16	0	22.87	0.7	9.22	0	0.72	0	0	0	0	2.44
UC-328	105	0.36	47.5	6.6	0.5	3.52	7.15	27.76																	
UC-329	101	0.83	110.5	14.4	0.95	33.36	36.99	124.57	0	0.0006	0.0225	0.0008													
UC-330	107	1.97	111.5	14.8	1.3	54.5	55.43	213.79	0	0	0.0041	0.0269	0	47.51	1.4	17.46	1.23	21.96	0	0	0	1.06	1.25	2.41	1.47
UC-331	94	1.39	121.4	13.4	1.2	48.3	58.99	208.57	0.001	0.0173	0.5232	0.03	0	51.89	3.76	15.54	2.51	3.85	0	0	0	2.56	0	3.09	0
UC-335	91	0.51	46.1	11.8	0.5	2.97	5.59	16.72	0	0	0.0063	0.0003	0	46.55	0	4.72	0.99	32.23	3.34	0	7.06	0	0	0	0
UC-336	107	1.23	65.8	16.4	0.9	21.1	7.69	98.36																	
UC-337	102	1.17	110.4666667	14.4	1.133333333	26.34333333	31.24	107.05																	
UC-338	94	1.32	77.4	13.8	0.8	9.94	4.31	47.9	0	0	0.1069	0	0	40.69	0	33.07	0	7.88	0	0	0	0	0	0	0
UC-340	86	1.46	90.6	12.8	1.5	24.38	23.36	112.26																	
UC-344	94	0.83	61.33333333	21.4	0.7	6.453333333	15.69333333	42.18666667	0	0.0004	0.0128	0.0008	0	37.34	0	3.04	0.61	17.64	1.92	0	3.37	0	0	2.15	0
UC-347	98	1.9	161	10.4	1.7	84.65	70.08	254.68	0	0.0025	0.1048	0.0019	0	60.47	0	60.94	0	19.81	0	4.27	0	0	0	0	0
UC-348	119	0.83	164.7	14.6	1.7	79.76	3.41	211.31																	
UC-349	107	2.04	140.4	12.8	1.7	81.3	31.83	275.11	0	0.0009	0.0389	0.0055	0	70.15	0	14.9	0	19.16	0	0	0	0	0	0	0
UC-351		1.05	74.6	18.6	0.8	9.65	6.48	40.28	0	0	0.0012	0	0	30.5	0	1.43	0.58	17.38	3.24	0	5.43	0	0.7	1.56	0
UC-354	86	0.62	59.8	9.2	0.8	9.45	6.62	50.49																	
UC-355	117	2.3	113.2	19.4	1	15.04	11.76	58.3	0	0.0127	0.3498	0	4.53	263.67	9.9	170.22	4.92	31.23	0	12.4	0	7.61	0	3.11	8.06
UC-357	96	0.46	37.3	9.4	0.5	2.57	1.08	19.19																	
UC-359	105	0.64	169.5	13	1.6	75.12	45.51	252.41	0	0.0005	0.0218	0	0	21.45	0	15.43	0	7.27	0	0	0	0	0	0	0
UC-360	86	0.31	35.5	9	0.4	1.28	1.29	10.62	0	0.0006	0.0248	0.0018	0	45.01	0.91	2.19	1.01	35.49	7.5	0	11.84	0	2.63	0	0
UC-362	94	1.08	116.8	11.4	1.3	33.23	54.63	179.47	0.0014	0.0102	0.3511	0.0113	0	153.27	7.31	86.36	2.76	12.1	0	0	0	5.8	0	1.81	3.25
UC-363	98	0.89	110.8	17.6	0.9	19.91	21.64	95.58	0	0	0	0.0365	0	36.01	1.68	38.92	0.63	13.97	0	10.23	0	1.67	0.57	2.65	0.75
UC-365	105	0.82	89.5	13.2	1.2	39.4	34.84	126.29	0	0.0008	0.04	0.0009	0	135.91	2.5	15.76	3.02	11.57	0	0	0	2.14	1.05	0	3.52
UC-371	105	0.31	49.6	17.4	0.6	0.81	11.01	37.35																	
UC-374	101	1.09	124.3	17.6	0.9	29.82	16.35	103	0	0.0004	0.0172	0.0012	0	44.13	0.53	16.79	0.72	17.31	0	2.3	0	0	0	2.38	0.79
UC-375	95.66666667	0.916666667	104.1666667	13.2	1.233333333	35.88333333	41.73333333	151.6733333																	
UC-384	101	0.59	91	19.4	0.9	14.88	39.56	108.43	0	0.0009	0.0293	0.0013	0.54	39.76	2.05	35.39	0.73	9.57	0	5.62	3.71	1.87	0	2.07	1.79
UC-387	101.3333333	2.226666667	120.2	16	1.1	29.71333333	15.10333333	127.8966667	0	0	0.0015	0.0002	0	4.09	0	0	0	6.76	0	0	2.25	0	0	1.2	0
UC-389	105	1.46	79.7	12.6	1.2	38.35	23.84	131.66	0	0.0019	0.0783	0.0014	0	239.66	3.27	106.12	3.38	14.21	0	5.08	0	3.02	0	0	0
UC-390	117	0.95	100	16.4	1.4	59.13	60.59	216.07	0	0.0117	0.3725	0.0068	4.47	119.57	4.96	19.68	2.5	4.66	0	0	0	4.9	0	0	4.24
UC-391	94	1.27	60.2	15.8	1.3	10.11	12.67	65.05																	
UC-392	91	0.42	55.1	11.4	0.7	4.27	4.97	18.43	0.0022	0.026	0.6919	0.0616	1.53	122.1	4.45	72.78	2.9	5.31	0	8.77	0	3.07	2.28	3.37	3.26
UC-394	117	1.37	80.2	15.2	0.8		1.73	27.38	0	0	0.0037	0	0	7.55	0	0	0	8.17	0	0	2.78	0	0	2.15	0
UC-399	88	0.45	51.8	12.4	0.6	4.97	4.24	22.32	0	0	0.0024	0.04	0	44.63	0	16.6	0	1.25	0	0	0	0	0	0	0
UC-401	84	0.56		9.2	0.4	2.21	0.87	8.83																	
UC-404	110	1.91	190.5	15.6	1.15	41.495	23.315	126.16	0	0	0.7101	0	0	166.26	5.75	44.28	7.04	5.14	0	0	0	4.97	1.99	0	5.21
UC-406	96	0.94	88	15.6	0.9	10.68	28.6	72.39																	
UC-407	84	0.29		10.2	0.4	1.83	1.18	11.24	0.0003	0.0007	0.0298	0.0015	0	39.89	0	11.62	1.13	15.28	0	0	0	0	1.97	2.57	0
UC-413	98	1.52	130.6	15	1.2	38.07	25.08	123.84	0	0.0125	0.3752	0.0435	0	95.42	0	17.76	4.09	5.68	0	7.15	0	4.25	0	0	0
UC-414	107	1.27	83.6	14.2	1.1	31.14	22.95	133.8																	
UC-415	110	1.28	115.8	14	1.5	72.38	36.42	208.66																	
UC-417	94	0.78	58.1	16	1	6.95	10.02	30.17	0.0003	0	0.0022	0.1342	0	88.31	5.81	67.54	0	9.52	0	6.33	0	4.87	0	0	0
UC-419	96	0.92	34.2	8.8	0.5	6.86	1.01	18.92	0.0019	0.0049	0.1764	0.0261	0	98.49	0	88.84	0	7.01	0	9.36	0	2.44	0	0	2.72
UC-421	101	0.63	91.4	14.8	0.7	16.07	35.43	100.66	0	0.0012	0.0403	0	0.46	46.58	2.54	39.53	0.66	11.26	0	3.74	0	1.92	0	2.31	2.27
UC-422	101	0.55	35.1	12.4	0.5	2.36	6.52	17.9																	
UC-423	107	1.3	105.8	15	1.1	26.38	24.1	92.88	0.0017	0.0217	0.6122	0.0298	0	64.59	1.59	20.87	2.58	7.3	0	0	0	1.07	0	2.64	0
UC-424	101	3.49	169.8	18	2.2	63.07	45.56	179.02	0	0	0.003	0.0223	0	42.7	0	36	0	29.18	0	13.94	0	0	0	0	0
UC-428	107	0.8	71.8	12	0.6	6.05	11.26	36.45																	
UC-431	107	2.27	157	13.4	1.2	42.08	15.23	130.32	0	0.0015	0.0472	0.0005	0	40.89	0	15.09	0	17.88	0	0	0	0	0	0	0
UC-432	94	1.5	76.4	13.8	1.2	24.8	55.99	163.6	0	0.0002	0.0156	0.3879	0	25.76	0	14.05	0	6.68	0	8.13	0	0	0	0	0
UC-436	110	0.58	68	13.6	0.9	23.76	8.7	166.06																	
UC-437	96.66666667	1.093333333	101.2333333	14	0.8	16.16333333	34.34333333	96.59333333	0	0.0008	0.0285	0	0	25.23	1.79	13.97	0.41	16.92	0	0	1	0	0.43	3.11	1.58
UC-442	96	1.58	59	13.6	0.8	10.22	13.11	71.59																	
UC-444	117	1.2	68.5	11	0.9	9.93	2.1	51.94	0	0	0	0.1418	0	84.84	0	88.3	0	15.82	0	5.09	0	2.86	0	0	0
UC-446		0.32	45.2	45.2	0.35	1.74		3.94	0.0004	0	0.0013	0.0426	0	33.08	0	28.34	0	4.1	0	4.38	0	0	0	0	0
UC-450	101	3.54	105.1	15.6	1.2	22.34	29.84	120.94	0	0.017	0.4858	0.0208	0	125.4	7.94	34.44	5.27	4.63	0	26.75	0	9.53	0	0	0
UC-452	101	1.44	133	19	1.3	51.49	57.63	217.88	0	0	0.0049	0.0491	0	106.01	3.23	66.5	2.2	11.17	0	17.19	0	3.35	0	0.97	0
UC-455	88.66666667	0.64		10	0.6	3.64	2.79	39.1	0.002	0.0095	0.3944	0.0181	0	42.38	1.68	6.27	1.06	2.82	0	0	0	1.73	0	2.25	0.15
UC-458	119	1.1	104.1	13.2	2.1	17.14	7.49	123.42	0	0.0006	0.0267	0.0005	0	134.37	0	14.04	7.59	12.73	10.05	0	22.74	0	6.74	0	0
UC-459	101	0.77	80.5	15	0.8	12.1	38.11	100.16	0	0.0018	0.0721	0.0004	0	33.38	0	19.06	0	33.1	0	0	0	0	0	0	0
UC-460	82	1.23		16.6	0.7	5.73	3.55	39.49	0.0028	0.0346	1.2213	0.1022	0	76.24	6.19	39.27	0	6.08	0	7.54	0	6.22	1.92	0	0
UC-465	101	1.63	82	15.4	0.9	11.8	10.53	59.97	0	0.0112	0.3501	0.0296	0	178.45	5.57	3.31	8.34	0	0	0	0	5.14	0	3.23	1.42
UC-467	97.66666667	2.033333333	141.6	17.8	1.033333333	16.87666667	22.67666667	80.33666667	0	0.0031	0.1464	0.0033	0	179.48	2.87	47.73	3.56	33.22	2.5	0	0	2.81	0	4.21	2.8
UC-468	84	0.96		11.2	0.6	4.27	4.3	29.1																	
UC-469			30.1	10.6	0.2	0.57	0.69	2.54	0.0003	0.0006	0.0329	0.0006	0	35.81	2.36	42.49	0.78	5.93	0	0	0	1.42	0	0	3.12
UC-470	96	2.25	159	17.2	1.4	46.1	18.87	151.28	0	0.0042	0.1407	0.0032	0	99.2	7.63	55.39	1.2	24.89	0	5.76	0	5.26	0	0	4.74
UC-471	102	1.156666667	89.13333333	14.4	0.966666667	22.85333333	61.67666667	67.45	0	0	0.006	0.0005	0	19.99	0	0	0	5.42	0	0	0	0	0	0	0
UC-472	91	0.48		14.73684211	0.7	4.07	0.28	21.35	0	0.0002	0.0056	0.0005													
UC-473	93.5	0.53	45.95	12.6	0.55	5.34	4.22	26.895																	
UC-489	105.6666667	0.526666667	65.2	14.2	0.9	23.42	35.19666667	126.1166667	0	0	0.0027	0.0091	0	25.71	0	0	0	32.32	0	0	0	0	0	0	0
UC-490	105	0.43	61.4	12.8	0.75	12.75	17.87	53.25	0	0	0.0244	0	0.45	208.94	1.09	73.85	4.34	16.26	0	6.43	0	1.52	0	0	0
UC-491	94	2.28	121.2	16.4	1.3	40.72	94.77	237.3	0	0.0021	0.0866	0.0008	0	67.34	3.64	61.73	1.25	7.16	0	0	0	3.08	0	1.89	4.29
UC-493	105	0.73	73.2	14.8	1.1	30.29	41.78	152.6	0	0.0011	0.0378	0.0009	0	42.93	1.68	13.58	1	10.76	0	0.74	0	1.25	0	1.4	0
UC-495	107	1.31	119.6	16.8	1.3	37.32	2.27	155.95	0	0	0.1319	0	2.6	108.77	4.42	50.59	0	8.55	0	3.98	0	2.23	0	0	0
UC-497	105	1.81	156	16.8	1.6	72.39	42.7	238.5																	
UC-500	102.5	1.215	121.4	14.8	1.15	31.51	9.69	162.735																	
UC-507	119	0.65	107.8	11.2	1.3	40.54	9.5	162.77	0	0	0.0024	0.0003	0	27.9	0	0	0	7.35	0	0	0	0	0	0	0
UC-509																									
UC-511	119	1.34	135.7	12.8	1.5	34.56	3.35	81.55	0	0.0015	0.0623	0.0022	0	108.79	0	58.15	0	15.12	0	0	0	0	0	0	0
UC-512																									
UC-514	107	0.53	35.4	10.81632653	0.4	3.32	0.61	26.38	0	0	0.0002	0	0	12.92	0	3.13	0	4.63	0	0	3.2	0	0	0	0
UC-518	96	1.05	47.2	9.2	0.6	6.21	1.2	23.96	0	0	0.3471	0	0	83.16	0	107.44	0	10.86	0	0	0	0	0	0	0
UC-526	105	1.84	99.1	11	0.9	15.61	3.92	79.28	0	0	0.0009	0	0	15.75	0	5.14	0	6.91	0	0	0	0	0	0	0
UC-527	91	0.76	96.6	12.4	1	15.8	35.81	102.03	0	0	0.0828	0	0	47.62	0	18.83	0	4.21	0	0	0	0	0	0	0
UC-529		1.52	147.6	15.2	1.1	43.53	40.38	159.24	0	0.0007	0.0295	0.0003	0	53.31	0	16.01	0	20.02	0	0	0	0	0	0	0
UC-533	101	2.58	134.5	19.2	1.1	32.51	61.58	155.07	0	0	0.0024	0.0002	0	32.28	0	2.01	0	8.82	0	0	0	0	0	0	0